"closed_date","county_name","facility_address","facility_administrator","facility_capacity","facility_city","facility_name","facility_number","facility_state","facility_status","facility_telephone_number","facility_type","facility_zip","file_date","license_first_date","licensee","regional_office"
"","ALAMEDA","1411 - 4TH STREET","SINIAN KERAMATI","91","BERKELEY","DUCK'S NEST - BERKELEY","10210068","CA","LICENSED","(510) 527-2331","DAY CARE CENTER","94710","5252025","1986-08-05T00:00:00","DUCK'S NEST INC.","2"
"","ALAMEDA","380 ELMHURST STREET","ESCOTO, MARILYN","78","HAYWARD","ELMHURST DAY CARE AND PRESCHOOL","10210079","CA","LICENSED","(510) 786-1289","DAY CARE CENTER","94544","5252025","1987-07-15T00:00:00","ELMHURST BAPTIST CHURCH","52"
"","ALAMEDA","1399 ALMOND AVENUE","REBECCA HESTER","100","LIVERMORE","LLESA CHILDREN'S CENTER","10210116","CA","LICENSED","(925) 424-0507","DAY CARE CENTER","94550","5252025","1986-08-28T00:00:00","LABORATORY FAMILY SERVICES, INC.","52"
"","ALAMEDA","1399 ALMOND AVENUE","REBECCA HESTER","55","LIVERMORE","LLESA CHILDREN'S CENTER","10210117","CA","LICENSED","(925) 424-0507","INFANT CENTER","94550","5252025","1986-08-26T00:00:00","LLESA, INC.","52"
"","ALAMEDA","2212 PACIFIC AVE.","MASCORRO, MARISELA","20","ALAMEDA","CHILD UNIQUE MONT. SCHOOL","10210145","CA","LICENSED","(510) 521-1030","DAY CARE CENTER","94501","5252025","1994-11-28T00:00:00","ACKER, SHERLINDA","2"
"","ALAMEDA","1300 ROSE STREET","PEREIRA, MICHAEL A.","58","BERKELEY","ALA COSTA CTR. FOR THE DEVELOPMENTALLY DISABLED","10210187","CA","LICENSED","(510) 527-2550","SCHOOL AGE DAY CARE CENTER","94702","5252025","1986-09-18T00:00:00","ALA COSTA CTR. FOR THE DEVELOPMENTALLY DISABLED","2"
"","ALAMEDA","3778 PARK BOULEVARD","NEELY, JULIA","40","OAKLAND","GAN MAH TOV PRESCHOOL","10210219","CA","LICENSED","(949) 378-7167","DAY CARE CENTER","94610","5252025","1987-01-26T00:00:00","BETH JACOB CONGREGATION OF OAKLAND, THE","2"
"2023-12-22T00:00:00","ALAMEDA","326 - 51ST STREET","TOY, ANN SOE","24","OAKLAND","PACIFIC COAST MONTESSORI PROGRAM","10210266","CA","CLOSED","(510) 653-3129","DAY CARE CENTER","94609","5252025","1986-11-05T00:00:00","TOY, ANN SOE","2"
"","ALAMEDA","993 53RD. STREET","MERRIA ROSS KRANEN","32","OAKLAND","GRACE CHILDREN'S ACADEMY","10210313","CA","LICENSED","(510) 653-1115","DAY CARE CENTER","94608","5252025","1987-03-09T00:00:00","ROSS-KRANEN, MERRIA","2"
"2025-02-07T00:00:00","ALAMEDA","466 CHETWOOD ST","COOPER, ALICIA","172","OAKLAND","GRAND LAKE MONTESSORI","10210354","CA","LICENSED","(510) 836-4313","DAY CARE CENTER","94610","5252025","1987-05-08T00:00:00","GRAND LAKE MONTESSORI, INC","2"
"","ALAMEDA","1910 SANTA CLARA AVENUE","BREWER, YVONNE","20","ALAMEDA","SON-LIGHT PRESCHOOL","10210438","CA","INACTIVE","(510) 523-0659","DAY CARE CENTER","94501","5252025","","IMMANUEL LUTHERAN CHURCH","2"
"2023-06-12T00:00:00","ALAMEDA","1850 SCENIC AVENUE","MCCARROLL SHAWNA","60","BERKELEY","MONTESSORI FAMILY SCHOOL","10210446","CA","CLOSED","(510) 848-2322","DAY CARE CENTER","94709","5252025","1987-01-09T00:00:00","DIAMOND INSTITUTE","2"
"2020-06-04T00:00:00","ALAMEDA","25 SOUTH HILL COURT","CAMPOS, OSCAR","100","OAKLAND","ADVENTURE TIME - KAISER","10210447","CA","CLOSED","(415) 845-3371","SCHOOL AGE DAY CARE CENTER","94618","5252025","1993-02-11T00:00:00","TULLER CORPORATION","2"
"","ALAMEDA","2230-32 JEFFERSON STREET","EMMA SCHNUR","32","BERKELEY","CONGREGATION BETH ISRAEL-GAN SHALOM","10210478","CA","LICENSED","(510) 848-3298","DAY CARE CENTER","94703","5252025","1987-04-29T00:00:00","CONGREGATION BETH ISRAEL OF BERKELEY","2"
"","ALAMEDA","801 PLYMOUTH AVENUE","KWAN, JOSEPH","60","FREMONT","YMCA OF THE EAST BAY Y-KIDS CHADBOURNE","10210508","CA","LICENSED","(510) 656-7243","SCHOOL AGE DAY CARE CENTER","94539","5252025","1987-05-26T00:00:00","YMCA OF THE EAST BAY","52"
"","ALAMEDA","733 BEATIE STREET","KAHN, JUDY","15","OAKLAND","OAKLAND PROGRESSIVE DAY CARE","10210641","CA","LICENSED","(510) 835-0131","DAY CARE CENTER","94606","5252025","1987-04-16T00:00:00","OAKLAND PROGRESSIVE DAY CARE CENTER, INC.","2"
"2022-12-05T00:00:00","ALAMEDA","2001 BOCKMAN ROAD","BREWER, TAMARA","75","SAN LORENZO","ADVENTURE TIME - BAY SCHOOL","10210666","CA","CLOSED","(510) 276-5406","SCHOOL AGE DAY CARE CENTER","94580","5252025","1993-05-01T00:00:00","TULLER CORPORATION","52"
"2023-06-30T00:00:00","ALAMEDA","14790 CORVALLIS ST.","HESSON, SHIRLEY","75","SAN LEANDRO","ADVENTURE TIME - CORVALLIS","10210667","CA","CLOSED","(510) 352-5782","SCHOOL AGE DAY CARE CENTER","94579","5252025","1989-01-20T00:00:00","TULLER CORPORATION","52"
"","ALAMEDA","400 PACKET LANDING ROAD","HODGES, LOIS","70","ALAMEDA","ALAMEDA ISLAND KIDS AT EARHART SCHOOL","10210676","CA","LICENSED","(510) 769-8545","SCHOOL AGE DAY CARE CENTER","94502","5252025","1990-11-05T00:00:00","GIRLS INC. OF THE ISLAND CITY","2"
"","ALAMEDA","7557 AMADOR VALLEY BOULEVARD","BHAVYA DOSHI","80","DUBLIN","RESURRECTION LUTHERAN PRESCHOOL","10210783","CA","LICENSED","(925) 829-5487","DAY CARE CENTER","94568","5252025","1987-11-23T00:00:00","LUTHERAN CHURCH OF THE RESURRECTION","52"
"","ALAMEDA","5261 EAST AVENUE","ZAPIEN, ROBYN","50","LIVERMORE","LIVERMORE PLAYSCHOOL","10211015","CA","LICENSED","(925) 447-6042","DAY CARE CENTER","94550","5252025","1987-11-16T00:00:00","LIVERMORE PLAY SCHOOL, INC.","52"
"","ALAMEDA","2330 PRINCE STREET","SALIH, NAGWA","50","BERKELEY","MODEL SCHOOL COMPREHENSIVE HUMANISTIC LEARNING CTR","10211112","CA","LICENSED","(510) 549-2711","DAY CARE CENTER","94705","5252025","1988-02-09T00:00:00","MODEL SCHOOL COMPREHENSIVE HUMANISTIC LEARNING CTR","2"
"","ALAMEDA","2330 PRINCE STREET","YVONNE STEEN","13","BERKELEY","MODEL SCHOOL COMPREHENSIVE HUMANISTIC LEARNING CTR","10211122","CA","LICENSED","(510) 549-2711","INFANT CENTER","94705","5252025","1988-06-13T00:00:00","MODEL SCHOOL COMPREHENSIVE HUMANISTIC LEARNING CTR","2"
